"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Life expectancy at age 60 (years)","Published","2000","Europe","Uzbekistan","Female","17.1","17.13516","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Uzbekistan","Female","72.9","72.90898","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Uzbekistan","Female","63.9","63.88562","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Uzbekistan","Female","18.7","18.71951","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Uzbekistan","Female","73.9","73.91861","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Uzbekistan","Female","64.8","64.77038","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Uzbekistan","Female","19.0","19.03925","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Uzbekistan","Female","75.2","75.21384","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Uzbekistan","Female","65.8","65.79825","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Uzbekistan","Female","19.8","19.80528","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Uzbekistan","Both sexes","65.3","65.26546","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Uzbekistan","Both sexes","58.1","58.07568","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Uzbekistan","Both sexes","16.0","16.04622","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Uzbekistan","Both sexes","70.2","70.18845","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Uzbekistan","Both sexes","62.3","62.33084","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Uzbekistan","Both sexes","17.3","17.28374","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Uzbekistan","Both sexes","71.4","71.44585","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Uzbekistan","Both sexes","63.5","63.45962","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Uzbekistan","Both sexes","17.8","17.75797","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Uzbekistan","Both sexes","73.0","73.00793","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Uzbekistan","Both sexes","64.7","64.68004","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Uzbekistan","Both sexes","18.6","18.63536","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Saint Vincent and the Grenadines","Male","68.5","68.51405","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Saint Vincent and the Grenadines","Male","61.1","61.09138","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Saint Vincent and the Grenadines","Male","17.5","17.46635","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Saint Vincent and the Grenadines","Male","70.9","70.92134","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Saint Vincent and the Grenadines","Male","62.9","62.90318","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Saint Vincent and the Grenadines","Male","19.0","18.99201","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Saint Vincent and the Grenadines","Male","70.3","70.30133","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Saint Vincent and the Grenadines","Male","62.2","62.24640","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Saint Vincent and the Grenadines","Male","19.2","19.19857","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Saint Vincent and the Grenadines","Male","71.3","71.32362","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Saint Vincent and the Grenadines","Male","62.9","62.93076","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Saint Vincent and the Grenadines","Male","20.2","20.16405","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Saint Vincent and the Grenadines","Female","72.8","72.80991","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Saint Vincent and the Grenadines","Female","63.4","63.41924","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Saint Vincent and the Grenadines","Female","19.5","19.46475","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Saint Vincent and the Grenadines","Female","75.0","74.98965","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Saint Vincent and the Grenadines","Female","65.2","65.15459","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Saint Vincent and the Grenadines","Female","20.7","20.69703","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Saint Vincent and the Grenadines","Female","74.9","74.90836","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Saint Vincent and the Grenadines","Female","64.9","64.94684","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Saint Vincent and the Grenadines","Female","21.0","21.03691","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Saint Vincent and the Grenadines","Female","75.3","75.32427","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Saint Vincent and the Grenadines","Female","65.1","65.13959","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Saint Vincent and the Grenadines","Female","21.6","21.63444","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Saint Vincent and the Grenadines","Both sexes","70.6","70.60850","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Saint Vincent and the Grenadines","Both sexes","62.2","62.23247","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Saint Vincent and the Grenadines","Both sexes","18.5","18.51549","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Saint Vincent and the Grenadines","Both sexes","72.9","72.85194","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Saint Vincent and the Grenadines","Both sexes","64.0","63.96932","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Saint Vincent and the Grenadines","Both sexes","19.8","19.82338","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Saint Vincent and the Grenadines","Both sexes","72.5","72.46788","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Saint Vincent and the Grenadines","Both sexes","63.5","63.51096","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Saint Vincent and the Grenadines","Both sexes","20.1","20.08648","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Saint Vincent and the Grenadines","Both sexes","73.2","73.21834","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Saint Vincent and the Grenadines","Both sexes","64.0","63.96999","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Saint Vincent and the Grenadines","Both sexes","20.9","20.87124","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Venezuela (Bolivarian Republic of)","Male","70.5","70.51161","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Venezuela (Bolivarian Republic of)","Male","62.5","62.49694","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Venezuela (Bolivarian Republic of)","Male","19.6","19.55385","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Venezuela (Bolivarian Republic of)","Male","70.8","70.82234","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Venezuela (Bolivarian Republic of)","Male","62.8","62.76581","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Venezuela (Bolivarian Republic of)","Male","20.0","20.02678","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Venezuela (Bolivarian Republic of)","Male","70.6","70.58763","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Venezuela (Bolivarian Republic of)","Male","62.5","62.51055","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Venezuela (Bolivarian Republic of)","Male","19.9","19.88929","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Venezuela (Bolivarian Republic of)","Male","69.9","69.91373","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Venezuela (Bolivarian Republic of)","Male","61.9","61.89024","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Venezuela (Bolivarian Republic of)","Male","19.7","19.67468","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Venezuela (Bolivarian Republic of)","Female","77.9","77.87621","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Venezuela (Bolivarian Republic of)","Female","67.0","67.00018","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Venezuela (Bolivarian Republic of)","Female","22.9","22.87879","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Venezuela (Bolivarian Republic of)","Female","79.0","78.99181","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Venezuela (Bolivarian Republic of)","Female","67.9","67.93588","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Venezuela (Bolivarian Republic of)","Female","23.6","23.64235","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Venezuela (Bolivarian Republic of)","Female","79.0","78.97281","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Venezuela (Bolivarian Republic of)","Female","67.8","67.84341","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Americas","Venezuela (Bolivarian Republic of)","Female","23.7","23.69074","","","","",""
"Life expectancy at birth (years)","Published","2019","Americas","Venezuela (Bolivarian Republic of)","Female","78.2","78.16525","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Americas","Venezuela (Bolivarian Republic of)","Female","67.1","67.10264","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Americas","Venezuela (Bolivarian Republic of)","Female","23.6","23.59788","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Venezuela (Bolivarian Republic of)","Both sexes","74.1","74.08585","","","","",""
